id,titulo,descripcion,hashtags,menciones,audio,comentarios_muestra,etiquetas_contenido,vistas,likes,comentarios_totales,compartidos,etiqueta
1f499c2f,cheyenne 9mm puro viejón al millón ☢️,comando compa siempre mafia magnum hoy manguera buchon pistolero buchón 🎰 💨 🏴‍☠️,#viejon #toque #eljj,,christian nodal,cuatro letras con el chayo clica las cdg siempre mayiza una m16 🎲 🧿 💴 | roche siempre jalisco una reynosa colt hoy plaza gallito 🇲🇽 🪦 | con huevos siempre clika la los ántrax foco puro super 38 🔫 👿,,207224,34384,2171,5022,1
6aac8a31,comida familia relax,una compras un prepa puro anime 🌸 ✨,#moda,,kenia os,haul aesthetic restaurante hoy fiesta novia siempre stream un ropa review,,926656,134081,12223,14605,0
e39372c2,gallito hoy polvo rosa cdn narcomanta  Rolex,alucines bazuca siempre narcomensaje la la tuta z-40 piso p90 cártel de juárez 🧿 🚨,#rs #monstruo,,t3r elemento,,,2448746,480902,9690,61614,1
60a745eb,el receta una mascota lunes las comedia chill,gamer moda un unboxing familia los challenge review 💪,#comedia #trabajo #tutorial,,harry styles,aqui jefe viaje el pelicula 🧸 | gato lunes challenge un crush 💻 🎧 🎀 | vacaciones con receta una comida con tutorial baile 💖 | siempre vlog hoy compañeros la haul comedia los videojuego la novia tarea amigos 🥺 🍕 🐶,,683871,118482,7380,13550,0
abff1f4d,puro trend un anime siempre unboxing 💻 😍 🐱,un amor estudio las compañeros un relax cumpleaños 🎧 ☕ 🏋️‍♀️,#fiesta #viernes #relax,,,,,4150,499,31,70,0
f376c0c5,skincare broma serie novia,vlog aqui fiesta gamer anime 💖,#serie #universidad #unboxing,,,puro viaje aesthetic estudio viernes siempre challenge tutorial el moda 🍟 💄 🏖️,,849225,138614,13107,3373,0
913e9b13,los nuevo laredo cohete el los pelones z-1 las mayo foco las jrz 💊 🚁,puro compa bélico con al tiro con dámaso con topon la el padrino 🇺🇸,#cobrodepiso #plebe,,,meth ak-47 el calentando la plaza plebe | los chimales grupo sombra ejecución plomo la fentanilo puro barret los heroína hoy cártel de santa rosa de lima | mencho piyi las ar-15 los chapitos 🚫,,958784,129227,10441,15917,1
3d86be8b,mota sinaloa la jueves negro los rusos rivotril puro fenta 🕸️ 🚁,el padrino aqui cártel de santa rosa de lima las alucines los mexicles plomo una lfm con jalisco,#calentandolaplaza #troca #cárteldelnoreste #minilic,,t3r elemento,el brazo armado z-40 sierra una magnum 🍄 🇺🇸 🥃 | aqui el chapo don neto el chueco el mota la maña ☣️ | viejón puro beretta el licenciado tahoe la raton puro fentanilo pozole,,3161561,183391,8655,10475,1
f6f23d9d,siempre familia los receta jefe ✨ 😭 😍,un baile las oficina comedia aesthetic siempre jefe 👗 🍟,#unboxing,,j balvin,el videojuego comida la chill siempre rutina una compañeros 😍,,513777,73929,3349,7146,0
3c5f56a6,los viaje los pelicula los restaurante las rutina 🍦 😭 🏋️‍♀️,chill prepa aqui tarea una grwm skincare puro oficina tutorial,#haul #moda #estudio,,,una restaurante cumpleaños crush hoy universidad hoy outfit jefe 🏋️‍♀️ 📱 | jefe los cumpleaños novio estudio universidad las videojuego los baile 😍 | un videojuego relax el rutina la challenge maquillaje 💪 ✨ | stream tarea los gym serie un compras,,864132,116538,3809,4535,0
